iterations,fitness,time
10,18.0,0.0016371762
100,17.8,0.005233489
500,18.0,0.0249774822
1000,18.0,0.0547971286
2500,18.0,0.1048159744
5000,18.0,0.1768377986
8000,18.0,0.259430979
10000,18.0,0.304715811
