iterations,fitness,time
10,5.0,8.36892e-05
100,8.4,9.6881e-05
500,9.0,0.0002339844
1000,9.0,0.0003557114
2500,9.0,0.0005742898
5000,9.0,0.0010919068
8000,8.8,0.0030159204
10000,9.0,0.0012078542
