iterations,fitness,time
10,41.6,0.0007773914
100,50.4,0.0050677902
500,52.8,0.021919019
1000,53.2,0.0428323132
2500,53.4,0.1027106102
5000,54.8,0.2035540334
8000,53.8,0.330992942
10000,54.8,0.4193350144
