iterations,fitness,time
10,74.2,0.0009853054
100,83.8,0.006352063
500,82.2,0.0292406432
1000,81.4,0.062539605
2500,92.0,0.1282821132
5000,102.4,0.2512164114
8000,96.8,0.4459575202
10000,102.6,0.496068894
