iterations,fitness,accuracy,train_time,test_time
10,165,33.7423312883,0.253000020981,0.0169999599457
100,201,41.1042944785,1.34599995613,0.00999999046326
500,333,68.0981595092,5.90300011635,0.00899982452393
1000,331,67.6891615542,11.6840000153,0.0090000629425
2500,330,67.4846625767,29.496999979,0.0090000629425
5000,352,71.9836400818,58.984000206,0.00899982452393
