iterations,cooling,fitness,accuracy,train_time,test_time
10,0.05,617,21.0078311202,0.396999835968,0.0200002193451
100,0.05,2320,78.9921688798,1.53699994087,0.0110001564026
500,0.05,2296,78.1750085121,5.81900000572,0.00999999046326
1000,0.05,2281,77.6642832823,11.5910000801,0.00799989700317
2500,0.05,2378,80.9669731018,29.5379998684,0.0090000629425
5000,0.05,2344,79.8093292475,59.1070001125,0.00899982452393
10,0.1,2319,78.9581205312,0.119999885559,0.0090000629425
100,0.1,617,21.0078311202,1.1740000248,0.0090000629425
500,0.1,2260,76.9492679605,6.03799986839,0.0090000629425
1000,0.1,2310,78.6516853933,11.8170001507,0.00899982452393
2500,0.1,2288,77.9026217228,29.9879999161,0.0090000629425
5000,0.1,2354,80.1498127341,59.5369999409,0.0090000629425
10,0.2,2317,78.8900238338,0.118000030518,0.0090000629425
100,0.2,2310,78.6516853933,1.17000007629,0.00799989700317
500,0.2,2297,78.2090568607,6.00499987602,0.007000207901
1000,0.2,2317,78.8900238338,11.9250001907,0.00699996948242
2500,0.2,2258,76.8811712632,29.9270000458,0.00799989700317
5000,0.2,2362,80.4221995233,60.1159999371,0.007000207901
10,0.3,2320,78.9921688798,0.118999958038,0.00800013542175
100,0.3,2320,78.9921688798,1.18800020218,0.00799989700317
500,0.3,2320,78.9921688798,5.89999985695,0.0090000629425
1000,0.3,2320,78.9921688798,11.8910000324,0.00699996948242
2500,0.3,2342,79.7412325502,29.4679999352,0.007000207901
5000,0.3,2389,81.341504937,59.0859999657,0.00699996948242
10,0.4,617,21.0078311202,0.12299990654,0.00800013542175
100,0.4,2323,79.0943139258,1.16300010681,0.00699996948242
500,0.4,2320,78.9921688798,6.08100008965,0.00699996948242
1000,0.4,2325,79.1624106231,11.8680000305,0.00699996948242
2500,0.4,2309,78.6176370446,29.3899998665,0.007000207901
5000,0.4,2357,80.25195778,59.8860001564,0.00699996948242
10,0.5,1005,34.2185903984,0.118000030518,0.00699996948242
100,0.5,2320,78.9921688798,1.15599989891,0.00799989700317
500,0.5,2319,78.9581205312,5.95399999619,0.00699996948242
1000,0.5,2332,79.4007490637,11.875,0.00699996948242
2500,0.5,2346,79.8774259448,29.6600000858,0.00699996948242
5000,0.5,2361,80.3881511747,59.1870000362,0.00699996948242
10,0.6,617,21.0078311202,0.118000030518,0.00699996948242
100,0.6,2320,78.9921688798,1.20299983025,0.00699996948242
500,0.6,2315,78.8219271365,6.19099998474,0.00600004196167
1000,0.6,2320,78.9921688798,12.0380001068,0.00699996948242
2500,0.6,2330,79.3326523664,29.7179999352,0.00699996948242
5000,0.6,2313,78.7538304392,59.6890001297,0.00699996948242
10,0.7,617,21.0078311202,0.119000196457,0.00699996948242
100,0.7,2320,78.9921688798,1.16999983788,0.00699996948242
500,0.7,2282,77.6983316309,6.01999998093,0.00699996948242
1000,0.7,2312,78.7197820906,11.7339999676,0.00699996948242
2500,0.7,2335,79.5028941096,29.5309998989,0.00699996948242
5000,0.7,2399,81.6819884236,59.1909999847,0.00800013542175
10,0.8,2319,78.9581205312,0.117999792099,0.007000207901
100,0.8,617,21.0078311202,1.25,0.007000207901
500,0.8,2278,77.5621382363,5.88100004196,0.00699996948242
1000,0.8,2328,79.2645556691,12.0350000858,0.00699996948242
2500,0.8,2308,78.5835886959,29.4529998302,0.007000207901
5000,0.8,2320,78.9921688798,58.8970000744,0.00699996948242
10,0.9,2135,72.6932243786,0.116999864578,0.00600004196167
100,0.9,825,28.0898876404,1.16400003433,0.00699996948242
500,0.9,2320,78.9921688798,5.88500022888,0.00699996948242
1000,0.9,2322,79.0602655771,11.6320002079,0.00699996948242
2500,0.9,2297,78.2090568607,29.4769999981,0.00699996948242
5000,0.9,2303,78.4133469527,59.367000103,0.00699996948242
10,0.95,621,21.1440245148,0.121000051498,0.0090000629425
100,0.95,1554,52.91113381,1.17100000381,0.00699996948242
500,0.95,617,21.0078311202,5.88999986649,0.0090000629425
1000,0.95,2320,78.9921688798,11.9149999619,0.00699996948242
2500,0.95,2314,78.7878787879,29.6459999084,0.00699996948242
5000,0.95,2329,79.2986040177,59.378000021,0.00699996948242
