iterations,fitness,time
10,73.8,0.003003133
100,82.4,0.0086945972
500,89.2,0.0453091784
1000,89.4,0.0671444592
2500,97.0,0.1492075418
5000,99.4,0.2691619062
8000,106.6,0.361713763
10000,103.8,0.4621345934
